MMWR,2020
1,01-04-2020
2,01-11-2020
3,1/18/2020
4,1/25/2020
5,02-01-2020
6,02-08-2020
7,2/15/2020
8,2/22/2020
9,2/29/2020
10,03-07-2020
11,3/14/2020
12,3/21/2020
13,3/28/2020
14,04-04-2020
15,04-11-2020
16,4/18/2020
17,4/25/2020
18,05-02-2020
19,05-09-2020
20,5/16/2020
21,5/23/2020
22,5/30/2020
23,06-06-2020
24,6/13/2020
25,6/20/2020
26,6/27/2020
27,07-04-2020
28,07-11-2020
29,7/18/2020
30,7/25/2020
31,08-01-2020
32,08-08-2020
33,8/15/2020
34,8/22/2020
35,8/29/2020
36,09-05-2020
37,09-12-2020
38,9/19/2020
39,9/26/2020
40,10-03-2020
41,10-10-2020
42,10/17/2020
43,10/24/2020
44,10/31/2020
45,11-07-2020
46,11/14/2020
47,11/21/2020
48,11/28/2020
49,12-05-2020
50,12-12-2020
51,12/19/2020
52,12/26/2020
53,01-02-2021
