Week,Age 0-4,Age 5-24,Age 25-49,Age 50-64,Age over 64,Total ILI,Total Patients,% Unweighted ILI,% Weighted ILI
202040,2464,4719,5112,2375,1847,16517,1540707,1.1,1.1
202041,2556,5258,6028,3008,2325,19175,1616445,1.2,1.2
202042,2308,4622,5672,2551,2105,17258,1583372,1.1,1.1
202043,2447,4845,5861,2831,2179,18163,1580601,1.1,1.2
202044,2518,4926,6104,2774,2302,18624,1564737,1.2,1.3
202045,2727,5832,7091,3291,2461,21402,1602507,1.3,1.4
202046,2776,5549,7686,3736,2876,22623,1641546,1.4,1.5
202047,2693,5340,7829,3960,2898,22720,1592274,1.4,1.5
202048,2485,4585,7094,3962,3194,21320,1425036,1.5,1.6
202049,2604,4875,7698,3988,3140,22305,1539414,1.4,1.6
202050,2567,4726,7530,4073,3323,22219,1553874,1.4,1.5
202051,2482,4282,7130,3846,3145,20885,1493567,1.4,1.5
202052,2323,3564,6632,3925,3408,19852,1362195,1.5,1.6
202053,2585,3934,7729,4520,3668,22436,1458471,1.5,1.6
202101,2414,4549,7979,4363,3415,22720,1583253,1.4,1.5
202102,2380,4056,6402,3525,2831,19194,1518732,1.3,1.3
202103,2566,4056,5878,3311,2542,18353,1515306,1.2,1.3
202104,2560,3953,5344,2810,2240,16907,1506118,1.1,1.1
202105,2636,4015,4996,2527,1927,16101,1487956,1.1,1.2
202106,2557,3736,4103,2136,1576,14108,1446976,1,1
202107,2320,3145,3710,1922,1504,12601,1388429,0.9,1
202108,2543,3541,3841,1900,1521,13346,1550643,0.9,0.9
202109,2772,3544,3536,1813,1351,13016,1544254,0.8,0.8
202110,3220,3811,3785,1906,1376,14098,1560043,0.9,0.9
202111,3515,3854,3939,1909,1360,14577,1551252,0.9,0.9
202112,3816,3915,4216,2057,1354,15358,1598941,1,0.9
202113,4116,4089,4395,2129,1265,15994,1602224,1,1
202114,4739,4691,5062,2290,1364,18146,1682764,1.1,1.1
202115,5225,4902,5292,2364,1385,19168,1728294,1.1,1.1
202116,5764,5095,4859,2143,1452,19313,1678587,1.2,1.1
202117,6334,5515,4817,2045,1419,20130,1701927,1.2,1.1
202118,6822,5402,4620,1803,1289,19936,1649172,1.2,1.1
202119,7366,5490,4363,1843,1308,20370,1623102,1.3,1.2
202120,8350,5414,4420,1744,1329,21257,1681200,1.3,1.2
202121,7952,4956,3989,1595,1178,19670,1649866,1.2,1.1
202122,8497,4854,3974,1571,1240,20136,1607687,1.3,1.2
202123,8095,4645,3689,1526,1224,19179,1672192,1.1,1.1
202124,8536,4618,3804,1514,1197,19669,1657504,1.2,1.2
202125,8512,4610,3815,1651,1304,19892,1640631,1.2,1.2
202126,8369,4755,4005,1678,1292,20099,1653906,1.2,1.2
202127,8715,5307,4858,1973,1503,22356,1679469,1.3,1.3
202128,9189,5924,6024,2399,1709,25245,1743904,1.4,1.4
202129,10363,7164,7957,2898,2150,30532,1778688,1.7,1.7
202130,11135,8560,9243,3605,2624,35167,1832855,1.9,1.8
202131,11089,8887,10527,4317,2868,37688,1826555,2.1,2
202132,11255,10095,11211,4549,2906,40016,1844664,2.2,2.1
202133,11731,12181,10983,4724,2888,42507,1833916,2.3,2.2
202134,11846,13265,10301,4301,2793,42506,1839110,2.3,2.3
202135,11537,12633,9483,3867,2601,40121,1773966,2.3,2.3
202136,11131,11482,8767,3569,2513,37462,1657732,2.3,2.3
